OSH-0001	OSH	OSH-01	職業安全衛生法	第1條	民國114年12月19日	總則	1	《職業安全衛生法》的立法目的為何？	管理環境污染排放，維護居民生活品質	規範勞資雙方工資給付及工時之標準	提高事業單位生產效率並增進營運績效	防止職業災害，保障工作者安全及健康	What is the legislative purpose of the Occupational Safety and Health Act?	To control environmental pollutant discharge and protect residents' living quality	To regulate wage payment and working-hour standards between employers and workers	To improve enterprise productivity and enhance overall operating performance	To prevent occupational accidents and protect workers' safety and health	d	第1條：為防止職業災害，保障工作者安全及健康，特制定本法。	Article 1: The Act is enacted to prevent occupational accidents and protect the safety and health of workers.	active	1		
OSH-0002	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	1	依本法第2條，「工作者」不包括下列何者？	受指揮監督從事勞動者	自營作業之工作者	受僱從事工作之勞工	單純到場參觀之訪客	Under Article 2, which of the following is NOT a 'worker'?	A person working under supervision	A self-employed person doing work	A laborer employed to perform work	A visitor merely touring the site	d	第2條第1款：工作者指勞工、自營作業者及其他受工作場所負責人指揮或監督從事勞動之人員。訪客未從事勞動，不屬工作者。	Article 2(1): 'worker' means laborers, self-employed persons and other persons performing labor under the direction or supervision of the workplace manager. A visitor performs no labor.	active	1		
OSH-0003	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	1	本法所稱「勞工」，指下列何者？	工作場所之出租人	受僱從事工作獲致工資者	事業之經營負責人	獨立作業之技藝工作者	Under the Act, a 'laborer' means:	The lessor of the workplace	A person employed to work and receiving wages	The person in charge of operating the business	An independent craftsperson	b	第2條第2款：勞工指受僱從事工作獲致工資者。	Article 2(2): 'laborer' means a person who is employed to work and receives wages.	active	1		
OSH-0004	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	1	本法所稱「雇主」，指下列何者？	勞動檢查機構之檢查員	工會之理事長或常務理事	事業主或事業之經營負責人	事業單位之職業安全衛生管理員	Under the Act, 'employer' means:	An inspector employed by the labor inspection agency	The chairperson or a standing director of the labor union	The business owner or the person in charge of operating the business	The occupational safety and health administrator of the enterprise	c	第2條第3款：雇主指事業主或事業之經營負責人。	Article 2(3): 'employer' means the business owner or the person in charge of operating the business.	active	1		
OSH-0005	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	2	本法所稱「職業災害」，其結果包含下列何者？	疾病、死亡或精神壓力	疾病、傷害或財產損失	疾病、傷害、失能或死亡	傷害、失能或設備損壞	Under the Act, the consequences covered by an 'occupational accident' include:	Disease, death or mental stress	Disease, injury or property damage	Disease, injury, disability or death	Injury, disability or equipment damage	c	第2條第5款：職業災害指因勞動場所之建築物、機械、設備、原料、材料、化學品等或作業活動及其他職業上原因引起之工作者疾病、傷害、失能或死亡。	Article 2(5): an occupational accident means a worker's disease, injury, disability or death caused by buildings, machinery, equipment, materials, chemicals, work activities or other occupational causes at the labor site.	active	1		
OSH-0006	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	3	本法所稱「作業場所」，指下列何者？	工作場所中，從事特定工作目的之場所	勞動契約存續中由雇主提示使勞工提供勞務之場所	接受雇主指示處理勞工事務之人所能支配管理之場所	自營作業者實際從事勞動之場所	Under the Act, an 'operation site' means:	A place within the workplace used for a specific work purpose	A place designated by the employer during the labor contract for the laborer to provide services	A place that can be controlled and managed by the person handling labor affairs under the employer's instruction	A place where a self-employed person actually performs labor	a	第2條第8款：作業場所指工作場所中，從事特定工作目的之場所。「雇主提示使勞工提供勞務之場所」為勞動場所；「處理勞工事務之人所能支配管理之場所」為工作場所。	Article 2(8): an operation site is a place within the workplace used for a specific work purpose. The place designated by the employer for providing services is the labor site; the place controlled by the person handling labor affairs is the workplace.	active	1		
OSH-0007	OSH	OSH-01	職業安全衛生法	第3條	民國114年12月19日	總則	1	本法所稱中央主管機關為何？	衛生福利部	經濟部	內政部	勞動部	Which is the central competent authority under the Act?	Ministry of Health and Welfare	Ministry of Economic Affairs	Ministry of the Interior	Ministry of Labor	d	第3條第1項：本法所稱主管機關，在中央為勞動部；在直轄市為直轄市政府；在縣（市）為縣（市）政府。	Article 3(1): the central competent authority is the Ministry of Labor; at the municipal level it is the municipal government; at the county (city) level it is the county (city) government.	active	1		
OSH-0008	OSH	OSH-01	職業安全衛生法	第4條	民國114年12月19日	總則	1	本法的適用範圍為何？	僅適用於僱用勞工人數在三十人以上之事業單位	僅適用於製造業及營造業，其他各業均不適用	僅適用於中央主管機關公告指定之特定高風險行業	適用於各業，但中央主管機關得指定公告部分規定之適用	What is the scope of application of the Act?	Only enterprises employing thirty or more laborers, regardless of the industry concerned	Manufacturing and construction industries only, with all other industries entirely excluded	Only specific high-risk industries designated and publicly announced by the central competent authority	All industries, though the central competent authority may designate partial application by public notice	d	第4條：本法適用於各業。但因事業規模、性質及風險等因素，中央主管機關得指定公告其適用本法之部分規定。	Article 4: the Act applies to all industries; based on scale, nature and risk, the central competent authority may designate and announce partial application of the Act.	active	1		
OSH-0009	OSH	OSH-01	職業安全衛生法	第5條	民國114年12月19日	總則	2	本法第5條規定，雇主使勞工從事工作，應在何種範圍內採取必要之預防設備或措施？	合理可行範圍內	主管機關檢查時之範圍內	不計成本之最高標準	勞工要求之範圍內	Under Article 5, an employer shall take necessary preventive equipment or measures within what scope?	A reasonably practicable scope	The scope examined by the competent authority during inspection	The highest standard regardless of cost	The scope requested by the laborers	a	第5條第1項：雇主使勞工從事工作，應在合理可行範圍內，採取必要之預防設備或措施，使勞工免於發生職業災害。	Article 5(1): the employer shall, within a reasonably practicable scope, take necessary preventive equipment or measures so that laborers are free from occupational accidents.	active	1		
OSH-0010	OSH	OSH-01	職業安全衛生法	第5條	民國114年12月19日	總則	2	依本法第5條第2項，機械、設備、原料等物件之設計、製造或輸入者及工程之設計或施工者，應於何階段實施風險評估？	發生職業災害並經檢查後之改善階段	產品出廠滿三年之定期複檢階段	設計、製造、輸入或施工規劃階段	勞動檢查機構實施檢查前之準備階段	Under Article 5(2), designers, manufacturers or importers of machinery, equipment and materials, and designers or contractors of construction works, shall conduct risk assessment at which stage?	At the improvement stage after an occupational accident has occurred	At the periodic re-inspection stage three years after shipment	At the design, manufacturing, import or construction planning stage	At the preparation stage before the labor inspection agency inspects	c	第5條第2項：物件之設計、製造或輸入者及工程之設計或施工者，應於設計、製造、輸入或施工規劃階段實施風險評估，致力防止發生職業災害。	Article 5(2): risk assessment shall be conducted at the design, manufacturing, import or construction planning stage to prevent occupational accidents during use or construction.	active	1		
OSH-0011	OSH	OSH-01	職業安全衛生法	第6條	民國114年12月19日	安全衛生設施	2	下列何者屬本法第6條第2項雇主應妥為規劃及採取必要安全衛生措施之事項？	輪班、夜間工作、長時間工作等異常工作負荷促發疾病之預防	防止高壓氣體及爆炸性物質引起危害之必要設備及措施	防止水患、風災、火災或地震引起危害之設備及措施	防止採石、採掘及沉箱作業引起危害之設備及措施	Which of the following falls under Article 6(2), matters the employer shall properly plan and take necessary safety and health measures for?	Preventing diseases induced by abnormal workloads such as shift work, night work and long working hours	Preventing hazards arising from high-pressure gas and explosive substances at the operation site	Preventing hazards caused by floods, windstorms, fires or earthquakes at the operation site	Preventing hazards arising from quarrying, excavation and pneumatic caisson operations	a	第6條第2項四款：重複性作業促發肌肉骨骼疾病之預防、異常工作負荷促發疾病之預防、執行職務遭受不法侵害之預防、避難急救休息等事項。其餘選項屬第6條第1項。	Article 6(2) lists four items: musculoskeletal disorders from repetitive work, diseases induced by abnormal workloads, unlawful physical or mental harm by others, and evacuation/first aid/rest. The other options fall under Article 6(1).	active	1		
OSH-0012	OSH	OSH-01	職業安全衛生法	第6條	民國114年12月19日	安全衛生設施	2	本法第6條第2項第3款要求雇主對「執行職務因他人行為遭受身體或精神不法侵害之預防」，除採取措施外尚應建立何種程序？	罷工、協商及調解程序	申訴、調查及處理程序	投保、理賠及給付程序	懲戒、解僱及申覆程序	Under Article 6(2)(3), for preventing physical or mental unlawful harm by others during the performance of duties, the employer shall also establish what procedures?	Strike, negotiation and mediation procedures	Complaint, investigation and handling procedures	Insurance, claim and benefit payment procedures	Discipline, dismissal and appeal procedures	b	第6條第2項第3款：執行職務因他人行為遭受身體或精神不法侵害之預防，並建立申訴、調查及處理程序。	Article 6(2)(3): prevention of unlawful physical or mental harm by others while performing duties, and establishment of complaint, investigation and handling procedures.	active	1		
OSH-0013	OSH	OSH-01	職業安全衛生法	第6條	民國114年12月19日	安全衛生設施	1	本法第6條第1項第5款要求雇主應有必要之安全衛生設備及措施，以防止何種作業場所引起之危害？	設有空調及照明設備之辦公室文書作業場所	供勞工用餐及休憩使用之員工餐廳場所	有墜落、物體飛落或崩塌等之虞之作業場所	供訪客及員工停放車輛之地面停車場所	Article 6(1)(5) requires the employer to have necessary safety and health equipment and measures to prevent hazards from what type of operation site?	Office clerical work areas equipped with air conditioning and lighting	Staff cafeterias used by laborers for meals and rest periods	Operation sites with risk of falls, falling objects or collapse	Ground-level parking lots used by employees and visitors	c	第6條第1項第5款：防止有墜落、物體飛落或崩塌等之虞之作業場所引起之危害。	Article 6(1)(5): to prevent hazards from operation sites where there is a risk of falls, falling objects or collapse.	active	1		
OSH-0014	OSH	OSH-01	職業安全衛生法	第7條	民國114年12月19日	機械設備	2	依本法第7條，對於中央主管機關指定之機械、設備或器具，其構造、性能及防護不符安全標準者，下列何種行為是被禁止的？	產製運出廠場、輸入、租賃、供應或設置	進行維修、保養或零件更換等相關作業	出口、轉運或於國外展覽陳列該等產品	於工作場所張貼標示或懸掛使用說明書	Under Article 7, for machinery, equipment or tools designated by the central competent authority whose structure, performance and protection do not meet safety standards, which act is prohibited?	Manufacturing for shipment, importing, leasing, supplying or installing	Carrying out maintenance, servicing or replacement of parts	Exporting, transshipping or displaying them at overseas exhibitions	Posting labels or hanging operating manuals in the workplace	a	第7條第1項：製造者、輸入者、供應者或雇主，對於指定之機械、設備或器具，其構造、性能及防護非符合安全標準者，不得產製運出廠場、輸入、租賃、供應或設置。	Article 7(1): manufacturers, importers, suppliers or employers shall not manufacture for shipment, import, lease, supply or install designated machinery, equipment or tools that do not meet safety standards.	active	1		
OSH-0015	OSH	OSH-01	職業安全衛生法	第7條	民國114年12月19日	機械設備	2	依本法第7條第3項，製造者或輸入者對於符合安全標準之指定機械、設備或器具，應辦理下列何事？	於中央主管機關指定之資訊申報網站登錄，並於產品明顯處張貼安全標示	向地方主管機關申請營業登記，並於產品包裝標示製造廠商名稱	向勞動檢查機構申請竣工檢查，並於產品明顯處張貼檢查合格證	向保險公司投保產品責任保險，並於產品明顯處標示保險期間	Under Article 7(3), for designated machinery, equipment or tools that meet safety standards, the manufacturer or importer shall:	Register on the central competent authority's designated information reporting website and affix a safety label conspicuously on the product	Apply for business registration with the local competent authority and mark the manufacturer's name on the product packaging	Apply to the labor inspection agency for a completion inspection and affix the inspection certificate conspicuously on the product	Take out product liability insurance with an insurer and affix a label showing the insured period conspicuously on the product	a	第7條第3項：符合安全標準者，應於中央主管機關指定之資訊申報網站登錄，並於其產製或輸入之產品明顯處張貼安全標示，以供識別。	Article 7(3): products meeting the safety standards shall be registered on the designated information reporting website and bear a safety label in a conspicuous place for identification.	active	1		
OSH-0016	OSH	OSH-01	職業安全衛生法	第8條	民國114年12月19日	機械設備	2	經中央主管機關公告列入型式驗證之機械、設備或器具，須符合何條件始得產製運出廠場或輸入？	經全國性同業公會實施產品審查合格及核發審查通過證明	經雇主指定之內部品管單位實施自主檢查合格及建檔備查	經中央主管機關認可之驗證機構實施型式驗證合格及張貼合格標章	經地方主管機關實施書面備查合格及公告於機關網站	For machinery, equipment or tools announced as subject to type certification, what condition must be met before manufacturing for shipment or import?	Passing a product review conducted by the national trade association and obtaining its approval certificate	Passing self-inspection by an internal quality unit designated by the employer and keeping the records on file	Passing type certification by a certification body approved by the central competent authority and affixing a conformity mark	Passing a documentary review by the local competent authority and being announced on that authority's official website	c	第8條第1項：非經中央主管機關認可之驗證機構實施型式驗證合格及張貼合格標章，不得產製運出廠場或輸入。	Article 8(1): they shall not be manufactured for shipment or imported unless type-certified by an approved certification body and affixed with a conformity mark.	active	1		
OSH-0017	OSH	OSH-01	職業安全衛生法	第8條	民國114年12月19日	機械設備	3	依本法第8條第2項，下列何種情形得免實施型式驗證？	產品售價低於一定金額，並有會計師出具價格查核報告	已投保產品責任保險，並有保險公司出具承保證明文件	製造者自行評估品質良好，並有內部品管單位出具報告	供國防軍事用途使用，並有國防部或其直屬機關出具證明	Under Article 8(2), which of the following may be exempted from type certification?	Priced below a certain amount with a price verification report issued by a certified public accountant firm	Covered by product liability insurance with a certificate of coverage issued by the underwriting insurance company	Assessed as being of good quality by the manufacturer, with an inspection report issued by its internal quality control unit	Used for national defense purposes with a certificate issued by the Ministry of National Defense or its directly subordinate agency	d	第8條第2項免驗證情形包括：依第16條或其他法律實施檢查驗證認可、供國防軍事用途並有國防部證明、限量製造供研發測試經核准、商業樣品或展覽品經核准、其他特殊情形經核准。	Article 8(2) exemptions include: inspection/certification under Article 16 or other laws; national defense use with MND certificate; limited quantity for R&D/testing with approval; commercial samples or exhibits with approval; other special cases with approval.	active	1		
OSH-0018	OSH	OSH-01	職業安全衛生法	第9條	民國114年12月19日	機械設備	2	依本法第9條，下列何種產品不得使用安全標示或驗證合格標章？	依法免驗證且已完成網站登錄之進口產品	已完成資訊申報網站登錄且標示完整之產品	已取得型式驗證合格並張貼合格標章之產品	資訊申報網站登錄逾期或型式驗證逾期之產品	Under Article 9, which product may NOT bear a safety label or certification mark?	An imported product legally exempt from certification and duly registered	A product that has completed website registration and is fully labeled	A product that has passed type certification and bears a conformity mark	A product whose website registration or type certification has expired	d	第9條第1項：對於未完成資訊申報網站登錄、未取得型式驗證合格、登錄逾期或型式驗證逾期之產品，不得使用安全標示、驗證合格標章或易生混淆之類似標示。	Article 9(1): safety labels, conformity marks or confusingly similar marks shall not be used on products that have not completed registration, have not passed type certification, or whose registration or certification has expired.	active	1		
OSH-0019	OSH	OSH-01	職業安全衛生法	第10條	民國114年12月19日	化學品管理	1	依本法第10條，雇主對於具有危害性之化學品，應辦理下列何者？	集中鎖存於專用倉庫，並由管理員定期清點數量及品項	於員工朝會口頭告知勞工，並請勞工簽名確認已知悉	標示、製備清單及揭示安全資料表，並採取必要之通識措施	全面改用進口化學品，並由供應商代為辦理通識措施	Under Article 10, for hazardous chemicals the employer shall:	Lock them in a dedicated warehouse and have the storekeeper periodically count the quantities and item types	Inform the laborers verbally at the morning assembly and have each of them sign to confirm they are aware	Label them, prepare an inventory, make safety data sheets available and take necessary hazard communication measures	Switch entirely to imported chemicals and let the supplier carry out all the hazard communication measures	c	第10條第1項：雇主對於具有危害性之化學品，應予標示、製備清單及揭示安全資料表，並採取必要之通識措施。	Article 10(1): the employer shall label hazardous chemicals, prepare an inventory, make safety data sheets available and take necessary hazard communication measures.	active	1		
OSH-0020	OSH	OSH-01	職業安全衛生法	第10條	民國114年12月19日	化學品管理	2	製造者、輸入者或供應者提供危害性化學品予事業單位前，應辦理何事？資料異動時如何處理？	僅需檢附出貨發票及型錄；資料異動時免再處理	以電話口頭說明危害特性即可；異動時免通知	予以標示及提供安全資料表；資料異動時亦同	僅需提供產品價格表及規格說明；異動時亦同	Before providing hazardous chemicals to an enterprise, what must manufacturers, importers or suppliers do, and what about when the information changes?	Only attach a shipping invoice and catalogue; no action needed when information changes	Explain the hazards verbally by phone; no notification needed when information changes	Label them and provide safety data sheets; the same applies when information changes	Only provide a price list and specification sheet; the same applies when information changes	c	第10條第2項：製造者、輸入者或供應者，提供化學品與事業單位或自營作業者前，應予標示及提供安全資料表；資料異動時，亦同。	Article 10(2): before providing chemicals to an enterprise or self-employed person, they shall label the chemicals and provide safety data sheets; the same applies when the information changes.	active	1		
OSH-0021	OSH	OSH-01	職業安全衛生法	第11條	民國114年12月19日	化學品管理	2	依本法第11條，雇主對危害性化學品應依何種情形評估風險等級並採取分級管理措施？	保存期限、供應商信用及付款條件	採購價格、品牌知名度及產地	包裝顏色、容器容量及材質	健康危害、散布狀況及使用量	Under Article 11, based on what factors shall the employer assess the risk level of hazardous chemicals and adopt graded management?	Shelf life, supplier credit rating and payment terms	Purchase price, brand reputation and country of origin	Packaging color, container volume and material used	Health hazards, dispersion conditions and quantity used	d	第11條第1項：雇主對於前條之化學品，應依其健康危害、散布狀況及使用量等情形，評估風險等級，並採取分級管理措施。	Article 11(1): the employer shall assess the risk level based on health hazards, dispersion conditions and quantity used, and adopt graded management measures.	active	1		
OSH-0022	OSH	OSH-01	職業安全衛生法	第12條	民國114年12月19日	化學品管理	1	對於中央主管機關定有容許暴露標準之作業場所，雇主應確保勞工之危害暴露如何？	高於標準值亦可	等於標準值	低於標準值	無需管理	For operation sites with permissible exposure limits set by the central competent authority, the employer shall ensure laborers' hazard exposure is:	Above the limit is acceptable	Equal to the limit	Below the limit	Not managed	c	第12條第1項：雇主對於中央主管機關定有容許暴露標準之作業場所，應確保勞工之危害暴露低於標準值。	Article 12(1): the employer shall ensure that laborers' hazard exposure is below the permissible exposure limit.	active	1		
OSH-0023	OSH	OSH-01	職業安全衛生法	第12條	民國114年12月19日	化學品管理	2	依本法第12條第3項，雇主對經中央主管機關指定之作業場所，應訂定何種計畫並由何者實施監測？	緊急應變計畫；由當地消防機關派員前往實施	品質管理計畫；由事業單位品管部門自行實施	年度預算計畫；由事業單位財務部門編列實施	作業環境監測計畫；由認可之作業環境監測機構實施	Under Article 12(3), for operation sites designated by the central competent authority, the employer shall formulate what plan, and who conducts the monitoring?	An emergency response plan; monitoring carried out by personnel of the local fire authority	A quality management plan; monitoring carried out by the enterprise's own quality control unit	An annual budget plan; monitoring carried out by the enterprise's own finance department staff	A workplace environment monitoring plan; monitoring by an approved environment monitoring institution	d	第12條第3項：應訂定作業環境監測計畫，並設置或委託由中央主管機關認可之作業環境監測機構實施監測。指定免經監測機構分析之項目得僱用合格監測人員辦理。	Article 12(3): the employer shall formulate a workplace environment monitoring plan and establish or commission a monitoring institution approved by the central competent authority to conduct the monitoring.	active	1		
OSH-0024	OSH	OSH-01	職業安全衛生法	第12條	民國114年12月19日	化學品管理	2	雇主對作業環境監測計畫及監測結果，應如何處理？	僅交由企業工會存查保管即可	列為機密文件，不得對外公開	於保存三年後銷毀避免資料外洩	公開揭示，並通報中央主管機關	How shall the employer handle the workplace environment monitoring plan and results?	Hand them over to the enterprise union for safekeeping only	Keep them as confidential documents that may not be disclosed	Destroy them after three years of storage to prevent leakage	Publicly disclose them and report to the central competent authority	d	第12條第4項：雇主對於監測計畫及監測結果，應公開揭示，並通報中央主管機關。中央主管機關或勞動檢查機構得實施查核。	Article 12(4): the employer shall publicly disclose the monitoring plan and results and report them to the central competent authority, which may conduct audits.	active	1		
