level	file	index	law_id	law	article	missing	question	correct
B	batch10_b1	11	ENV-05	噪音管制法	第10條	2	應申請噪音許可證之營建工程或公私場所種類、規模及易發生噪音設施種類由何機關定之？	二者均由中央主管機關定之，設置或操作並應依許可證內容為之，違反者依法處罰
B	batch10_b1	38	ENV-05	噪音管制法	第33條	1	軍事機關及其所屬單位之場所、工程、設施及機動車輛、航空器等裝備之噪音管制辦法，由	由中央主管機關會同國防部定之，不逕行適用一般公私場所之許可及處罰程序
B	batch10_b2	35	ENV-13	環境影響評估法	第25條	1	開發行為涉及軍事秘密及緊急性國防工程者，其環境影響評估之有關作業由何機關訂定？	由中央主管機關會同國防部另定之，不逕行適用一般開發行為之評估程序
B	batch10_c2	37	ENV-07	水污染防治法	第66條之3	2	各級主管機關依第十一條第六項設置之特種基金，其來源除水污染防治費外尚應包括什麼？	應包括依第六十六條之二追繳之所得利益及依本法裁處之部分罰鍰；該部分應優先支用於該違反本法義務者所污染水體之整治
B	batch10_c3	27	ENV-08	放流水標準	第7條	2	事業自水體取水作為冷卻或循環用途之未接觸冷卻水，在何條件下不適用本標準？哪些項目	如排放於原取水區位之地面水體者不適用本標準；但水溫及氫離子濃度指數二項目之限值仍應適用
B	batch10_d4	12	ENV-09	水污染防治措施及檢測申報管理辦法	第96條	2	工業區專用污水下水道系統應如何收集區域內之廢水及雨水？	應以專用溝渠或管線收集區域內廢水，並以專用雨水溝渠或管線收集雨水及第八條以外之逕流廢水，兩者不得混雜收集
B	batch10_e2	27	ENV-10	廢棄物清理法	第61條	1	關於違反本法之處罰體系，本法第六十一條之現行狀態及該領域現行規範依據為何？	該條業經刪除而無現行內容；違反本法之刑事處罰、行政罰鍰、情節重大認定及裁罰準則等事項，現依第四十五條至第六十條及第六十三
B	batch10_e2	31	ENV-10	廢棄物清理法	第64條	1	關於本法罰鍰之執行與救濟，本法第六十四條之現行狀態及該領域現行規範依據為何？	該條業經刪除而無現行內容；罰鍰及清除處理費未繳之強制執行與裁罰準則等事項，現依第六十三條之一、第六十五條及第六十六條規定
B	batch10_f1	38	ENV-14	海洋污染防治法	第24條	3	中央主管機關就棄置於海洋之物質如何分類？各類物質之管制方式為何？	依對海洋環境之影響公告為甲、乙、丙三類；甲類不得棄置於海洋，乙類之棄置時間數量及作業方式應取得許可，丙類於許可之期間及總
B	batch10_h3	34	ENV-20	毒性及關注化學物質管理法	第30條	3	化學物質資料登錄之內容包括哪些項目？依製造或輸入量及物質種類分為哪幾種登錄？	登錄內容包括製造或輸入情形、物理、化學、毒理、暴露、危害評估或其他經中央主管機關指定應登錄之資料項目；依每年製造或輸入量
B	batch11_b1	14	OSH-41	高壓氣體勞工安全規則	第18條	0	壓縮氣體儲存設備與液化氣體儲存設備之儲存能力計算式各為何？	壓縮氣體 Ｑ＝（Ｐ＋１）Ｖ１；液化氣體儲存設備 Ｗ＝０．９ｗＶ２
B	batch11_b1	18	OSH-41	高壓氣體勞工安全規則	第20條	0;8	冷凍能力算式Ｒ＝Ｖ／Ｃ中，以多段壓縮方式或多元冷凍方式之製造設備，其Ｖ值如何計算	ＶＨ＋０．０８×ＶＬ，ＶＨ為最終段或最終元氣筒一小時活塞壓縮量
B	batch11_b2	18	OSH-41	高壓氣體勞工安全規則	第78條	9	霧劑之製造作業，對製造設備四周及霧劑之壓力與容量有何規定？	四周二公尺以內不得置放危險性物質；攝氏三十五度時容器內壓八公斤以下且容量在九成以下
B	batch11_b3	44	OSH-41	高壓氣體勞工安全規則	第178條	5	特定液化石油氣消費設備，除距離八公尺及消防設備規定外，下列何者屬其準用之規定？	境界警戒標示、材料選用、耐壓氣密試驗、壓力表安全裝置、漏洩警報及儲存設備五公尺禁煙火
B	batch11_b4	9	OSH-41	高壓氣體勞工安全規則	第189條	1	可燃性氣體、毒性氣體及氧氣之消費，除第一百七十九條至第一百八十七條規定外，準用何	準用特定高壓氣體消費設施自境界警戒標示至操作閥防止過巨之力等一系列規定
B	batch11_b4	12	OSH-41	高壓氣體勞工安全規則	第192條	4;5	一般液化石油氣之消費，除第一百九十條至第一百九十一條之一規定外，準用何項規定？	準用儲存相關設備四周五公尺禁煙火、閥操作措施、修理清掃作業及加熱方式等規定
B	batch11_e2	24	OSH-42	起重升降機具安全規則	第88條	5	營建用提升機使用時，雇主應禁止勞工進入之工作場所不包括下列何者？	提升機基座外圍五公尺以上且無升降影響之通行區域
B	batch11_g4	24	OSH-37	性別平等工作法	第38條之3	2	第十二條第八項第一款之最高負責人經認定有性騷擾者，其處罰機關及裁處權時效為何？	由地方主管機關依第三十八條之二第一項規定處罰；時效自受理申訴機關收受申訴之日起算三年，自行為終了逾十年者亦同
B	batch11_j2	22	OSH-04	勞動檢查法施行細則	第8條	3	本法第九條所稱勞動檢查員之專業訓練，其內容包括哪些？	指新進人員之職前訓練、現職人員之在職訓練及進修等三者
B	batch11_k1	1	OSH-09	職業安全衛生管理辦法	第5條、第9條、第76條、第89條	4	職業安全衛生管理辦法歷經多次修正，下列哪一組條文之現行條文均已刪除而無實質內容？	第五條、第九條、第七十六條及第八十九條等四條條文，現行條文均已刪除
B	batch11_k1	40	OSH-09	職業安全衛生管理辦法	第77條	5	依本辦法，雇主應使勞工對其作業中之哪些物件或設施實施檢點？	纖維纜索、乾燥室、防護用具、電氣機械器具及自設道路等五類物件設施
B	batch11_l2	9	OSH-16	精密作業勞工視機能保護設施標準	第6條	1	從事第三條第六款、第七款規定之作業而採用發光背景時，應符合何種要求？	應使光度均勻，避免明暗不一造成視機能負荷
B	batch12_a2	26	ENV-102	公私場所固定污染源空氣污染物排放量申報管理辦法	第8條	6	下列何者非屬地方主管機關應優先查核申報內容之情形？	同一固定污染源之操作許可證有效期間即將於六個月內屆滿而尚未申請展延者
B	batch12_a4	35	ENV-111	汽車製造業表面塗裝作業空氣污染物排放標準	第4條	3	本標準濃度計算之基準及單位為何？	以凱氏溫度二七三度及一大氣壓下未經稀釋之乾燥排氣體積為計算基準，單位為 mg／Nm3
